Rlarge Rsmall Nu ampFrac rsl amp vel
2.00000e-01 1.50000e-01 5.00000e-03 7.00000e-01 9.75913e-01 2.18592e-01 6.26500e-01
2.00000e-01 1.50000e-01 1.00000e-02 7.00000e-01 9.75494e-01 2.18910e-01 5.35087e-01
2.00000e-01 1.50000e-01 1.50000e-02 7.00000e-01 9.75231e-01 2.19074e-01 4.18873e-01
2.00000e-01 1.50000e-01 2.00000e-02 7.00000e-01 9.75010e-01 2.19213e-01 3.13491e-01
2.00000e-01 1.50000e-01 2.50000e-02 7.00000e-01 9.74836e-01 2.19336e-01 2.26296e-01
2.00000e-01 1.50000e-01 3.00000e-02 7.00000e-01 9.74673e-01 2.19447e-01 1.60993e-01
2.00000e-01 1.50000e-01 4.00000e-02 7.00000e-01 9.74359e-01 2.19712e-01 7.49212e-02
2.00000e-01 1.50000e-01 5.00000e-02 7.00000e-01 9.74088e-01 2.19882e-01 3.32308e-02
2.00000e-01 1.50000e-01 7.50000e-02 7.00000e-01 9.74153e-01 2.21375e-01 -1.11127e-02
2.00000e-01 1.50000e-01 1.00000e-01 7.00000e-01 9.73034e-01 2.20583e-01 -2.69945e-02
2.00000e-01 1.50000e-01 1.30000e-01 7.00000e-01 9.72509e-01 2.20927e-01 -3.84811e-02
2.00000e-01 1.50000e-01 1.75000e-01 7.00000e-01 9.71797e-01 2.21376e-01 -4.87359e-02
2.00000e-01 1.50000e-01 2.35000e-01 7.00000e-01 9.70944e-01 2.21884e-01 -5.75553e-02
2.00000e-01 1.50000e-01 3.15000e-01 7.00000e-01 9.69920e-01 2.22455e-01 -6.36991e-02
2.00000e-01 1.50000e-01 4.20000e-01 7.00000e-01 9.68670e-01 2.23097e-01 -6.83210e-02
2.00000e-01 1.50000e-01 5.60000e-01 7.00000e-01 9.70398e-01 2.19070e-01 -6.90384e-02
2.00000e-01 1.50000e-01 7.55000e-01 7.00000e-01 9.69111e-01 2.19630e-01 -7.12004e-02
2.00000e-01 1.50000e-01 1.01000e+00 7.00000e-01 9.67522e-01 2.20221e-01 -7.08427e-02
2.00000e-01 1.50000e-01 1.35000e+00 7.00000e-01 9.65495e-01 2.20852e-01 -6.85184e-02
2.00000e-01 1.50000e-01 1.81000e+00 7.00000e-01 9.62834e-01 2.21512e-01 -6.48715e-02
2.00000e-01 1.20000e-01 5.00000e-03 7.00000e-01 9.75308e-01 2.16926e-01 9.50787e-01
2.00000e-01 1.20000e-01 1.00000e-02 7.00000e-01 9.75241e-01 2.16944e-01 8.02221e-01
2.00000e-01 1.20000e-01 1.50000e-02 7.00000e-01 9.75073e-01 2.17064e-01 6.93302e-01
2.00000e-01 1.20000e-01 2.00000e-02 7.00000e-01 9.74915e-01 2.17173e-01 5.68660e-01
2.00000e-01 1.20000e-01 2.50000e-02 7.00000e-01 9.74767e-01 2.17268e-01 4.55365e-01
2.00000e-01 1.20000e-01 3.00000e-02 7.00000e-01 9.74630e-01 2.17357e-01 3.53222e-01
2.00000e-01 1.20000e-01 4.00000e-02 7.00000e-01 9.74375e-01 2.17517e-01 1.90888e-01
2.00000e-01 1.20000e-01 5.00000e-02 7.00000e-01 9.74142e-01 2.17668e-01 9.23078e-02
2.00000e-01 1.20000e-01 7.50000e-02 7.00000e-01 9.73805e-01 2.25982e-01 -8.39517e-03
2.00000e-01 1.20000e-01 1.00000e-01 7.00000e-01 9.73200e-01 2.18279e-01 -3.12702e-02
2.00000e-01 1.20000e-01 1.30000e-01 7.00000e-01 9.72732e-01 2.18575e-01 -5.09409e-02
2.00000e-01 1.20000e-01 1.75000e-01 7.00000e-01 9.72097e-01 2.18976e-01 -6.68453e-02
2.00000e-01 1.20000e-01 2.35000e-01 7.00000e-01 9.71334e-01 2.19436e-01 -7.91642e-02
2.00000e-01 1.20000e-01 3.15000e-01 7.00000e-01 9.70406e-01 2.19970e-01 -8.99916e-02
2.00000e-01 1.20000e-01 4.20000e-01 7.00000e-01 9.69293e-01 2.20558e-01 -9.61688e-02
2.00000e-01 1.20000e-01 5.60000e-01 7.00000e-01 9.70904e-01 2.17384e-01 -9.67325e-02
2.00000e-01 1.20000e-01 7.55000e-01 7.00000e-01 9.69757e-01 2.17890e-01 -9.81906e-02
2.00000e-01 1.20000e-01 1.01000e+00 7.00000e-01 9.68340e-01 2.18437e-01 -9.76759e-02
2.00000e-01 1.20000e-01 1.35000e+00 7.00000e-01 9.66537e-01 2.19021e-01 -9.43313e-02
2.00000e-01 1.20000e-01 1.81000e+00 7.00000e-01 9.64183e-01 2.19635e-01 -8.89805e-02
2.25000e-01 1.50000e-01 5.00000e-03 7.00000e-01 9.75654e-01 2.19500e-01 7.19242e-01
2.25000e-01 1.50000e-01 1.00000e-02 7.00000e-01 9.75297e-01 2.19687e-01 6.61316e-01
2.25000e-01 1.50000e-01 1.50000e-02 7.00000e-01 9.75074e-01 2.19846e-01 5.35805e-01
2.25000e-01 1.50000e-01 2.00000e-02 7.00000e-01 9.74867e-01 2.19968e-01 4.32302e-01
2.25000e-01 1.50000e-01 2.50000e-02 7.00000e-01 9.74682e-01 2.20094e-01 3.36430e-01
2.25000e-01 1.50000e-01 3.00000e-02 7.00000e-01 9.74510e-01 2.20214e-01 2.63657e-01
2.25000e-01 1.50000e-01 4.00000e-02 7.00000e-01 9.74174e-01 2.20499e-01 1.42223e-01
2.25000e-01 1.50000e-01 5.00000e-02 7.00000e-01 9.73898e-01 2.20684e-01 6.88571e-02
2.25000e-01 1.50000e-01 7.50000e-02 7.00000e-01 9.74098e-01 2.25737e-01 -1.19775e-02
2.25000e-01 1.50000e-01 1.00000e-01 7.00000e-01 9.72773e-01 2.21435e-01 -3.04508e-02
2.25000e-01 1.50000e-01 1.30000e-01 7.00000e-01 9.72214e-01 2.21802e-01 -4.79456e-02
2.25000e-01 1.50000e-01 1.75000e-01 7.00000e-01 9.71460e-01 2.22284e-01 -6.24933e-02
2.25000e-01 1.50000e-01 2.35000e-01 7.00000e-01 9.70558e-01 2.22837e-01 -7.53375e-02
2.25000e-01 1.50000e-01 3.15000e-01 7.00000e-01 9.69471e-01 2.23453e-01 -8.65882e-02
2.25000e-01 1.50000e-01 4.20000e-01 7.00000e-01 9.68156e-01 2.24125e-01 -9.50157e-02
2.25000e-01 1.50000e-01 5.60000e-01 7.00000e-01 9.70009e-01 2.19754e-01 -9.81387e-02
2.25000e-01 1.50000e-01 7.55000e-01 7.00000e-01 9.68648e-01 2.20348e-01 -1.02613e-01
2.25000e-01 1.50000e-01 1.01000e+00 7.00000e-01 9.66965e-01 2.20971e-01 -1.03114e-01
2.25000e-01 1.50000e-01 1.35000e+00 7.00000e-01 9.64811e-01 2.21633e-01 -1.00728e-01
2.25000e-01 1.50000e-01 1.81000e+00 7.00000e-01 9.61969e-01 2.22312e-01 -9.58979e-02
2.25000e-01 2.00000e-01 5.00000e-03 7.00000e-01 9.75527e-01 2.23606e-01 3.56549e-01
2.25000e-01 2.00000e-01 1.00000e-02 7.00000e-01 9.75264e-01 2.23789e-01 2.60349e-01
2.25000e-01 2.00000e-01 1.50000e-02 7.00000e-01 9.75051e-01 2.23956e-01 1.55590e-01
2.25000e-01 2.00000e-01 2.00000e-02 7.00000e-01 9.74847e-01 2.24113e-01 9.39575e-02
2.25000e-01 2.00000e-01 2.50000e-02 7.00000e-01 9.74673e-01 2.24251e-01 4.97542e-02
2.25000e-01 2.00000e-01 3.00000e-02 7.00000e-01 9.74516e-01 2.24392e-01 2.38420e-02
2.25000e-01 2.00000e-01 4.00000e-02 7.00000e-01 9.74223e-01 2.24651e-01 1.50348e-02
2.25000e-01 2.00000e-01 5.00000e-02 7.00000e-01 9.73953e-01 2.24867e-01 7.96604e-03
2.25000e-01 2.00000e-01 7.50000e-02 7.00000e-01 9.73333e-01 2.25355e-01 -1.14579e-02
2.25000e-01 2.00000e-01 1.00000e-01 7.00000e-01 9.72765e-01 2.25768e-01 -1.77993e-02
2.25000e-01 2.00000e-01 1.30000e-01 7.00000e-01 9.72129e-01 2.26207e-01 -2.23026e-02
2.25000e-01 2.00000e-01 1.75000e-01 7.00000e-01 9.71251e-01 2.26776e-01 -2.58695e-02
2.25000e-01 2.00000e-01 2.35000e-01 7.00000e-01 9.70176e-01 2.27422e-01 -2.98873e-02
2.25000e-01 2.00000e-01 3.15000e-01 7.00000e-01 9.68849e-01 2.28143e-01 -3.49070e-02
2.25000e-01 2.00000e-01 4.20000e-01 7.00000e-01 9.67215e-01 2.28919e-01 -3.97746e-02
2.25000e-01 2.00000e-01 5.60000e-01 7.00000e-01 9.69171e-01 2.22878e-01 -4.18885e-02
2.25000e-01 2.00000e-01 7.55000e-01 7.00000e-01 9.67570e-01 2.23547e-01 -4.41224e-02
2.25000e-01 2.00000e-01 1.01000e+00 7.00000e-01 9.65559e-01 2.24240e-01 -4.47701e-02
2.25000e-01 2.00000e-01 1.35000e+00 7.00000e-01 9.62927e-01 2.24945e-01 -4.39861e-02
2.25000e-01 2.00000e-01 1.81000e+00 7.00000e-01 9.59375e-01 2.25631e-01 -4.19286e-02
2.25000e-01 1.20000e-01 5.00000e-03 7.00000e-01 9.75017e-01 2.17316e-01 1.08561e+00
2.25000e-01 1.20000e-01 1.00000e-02 7.00000e-01 9.75057e-01 2.17388e-01 8.84767e-01
2.25000e-01 1.20000e-01 1.50000e-02 7.00000e-01 9.74889e-01 2.17493e-01 7.95820e-01
2.25000e-01 1.20000e-01 2.00000e-02 7.00000e-01 9.74733e-01 2.17612e-01 6.75590e-01
2.25000e-01 1.20000e-01 2.50000e-02 7.00000e-01 9.74585e-01 2.17712e-01 5.52064e-01
2.25000e-01 1.20000e-01 3.00000e-02 7.00000e-01 9.74440e-01 2.17805e-01 4.49755e-01
2.25000e-01 1.20000e-01 4.00000e-02 7.00000e-01 9.74174e-01 2.17982e-01 2.65326e-01
2.25000e-01 1.20000e-01 5.00000e-02 7.00000e-01 9.73932e-01 2.18142e-01 1.36561e-01
2.25000e-01 1.20000e-01 7.50000e-02 7.00000e-01 9.73223e-01 2.24432e-01 -6.81264e-03
2.25000e-01 1.20000e-01 1.00000e-01 7.00000e-01 9.72938e-01 2.18785e-01 -3.52110e-02
2.25000e-01 1.20000e-01 1.30000e-01 7.00000e-01 9.72441e-01 2.19106e-01 -5.90002e-02
2.25000e-01 1.20000e-01 1.75000e-01 7.00000e-01 9.71769e-01 2.19523e-01 -7.79052e-02
2.25000e-01 1.20000e-01 2.35000e-01 7.00000e-01 9.70962e-01 2.20019e-01 -9.44181e-02
2.25000e-01 1.20000e-01 3.15000e-01 7.00000e-01 9.69984e-01 2.20592e-01 -1.08869e-01
2.25000e-01 1.20000e-01 4.20000e-01 7.00000e-01 9.68811e-01 2.21212e-01 -1.18995e-01
2.25000e-01 1.20000e-01 5.60000e-01 7.00000e-01 9.70556e-01 2.17839e-01 -1.21707e-01
2.25000e-01 1.20000e-01 7.55000e-01 7.00000e-01 9.69349e-01 2.18372e-01 -1.25508e-01
2.25000e-01 1.20000e-01 1.01000e+00 7.00000e-01 9.67858e-01 2.18945e-01 -1.26197e-01
2.25000e-01 1.20000e-01 1.35000e+00 7.00000e-01 9.65957e-01 2.19558e-01 -1.22767e-01
2.25000e-01 1.20000e-01 1.81000e+00 7.00000e-01 9.63468e-01 2.20197e-01 -1.16306e-01
3.75000e-01 1.50000e-01 5.00000e-03 7.00000e-01 9.26969e-01 2.23073e-01 1.12774e+00
3.75000e-01 1.50000e-01 1.00000e-02 7.00000e-01 9.74025e-01 2.22429e-01 1.09938e+00
3.75000e-01 1.50000e-01 1.50000e-02 7.00000e-01 9.73916e-01 2.22609e-01 9.41235e-01
3.75000e-01 1.50000e-01 2.00000e-02 7.00000e-01 9.73738e-01 2.22825e-01 8.41758e-01
3.75000e-01 1.50000e-01 2.50000e-02 7.00000e-01 9.73543e-01 2.23006e-01 7.41906e-01
3.75000e-01 1.50000e-01 3.00000e-02 7.00000e-01 9.73352e-01 2.23183e-01 6.43581e-01
3.75000e-01 1.50000e-01 4.00000e-02 7.00000e-01 9.73002e-01 2.23510e-01 4.61283e-01
3.75000e-01 1.50000e-01 5.00000e-02 7.00000e-01 9.72625e-01 2.23898e-01 3.20641e-01
3.75000e-01 1.50000e-01 7.50000e-02 7.00000e-01 9.71943e-01 2.24467e-01 6.24117e-02
3.75000e-01 1.50000e-01 1.00000e-01 7.00000e-01 9.71325e-01 2.24938e-01 -1.70565e-02
3.75000e-01 1.50000e-01 1.30000e-01 7.00000e-01 9.70638e-01 2.25415e-01 -5.44733e-02
3.75000e-01 1.50000e-01 1.75000e-01 7.00000e-01 9.69680e-01 2.26029e-01 -8.65242e-02
3.75000e-01 1.50000e-01 2.35000e-01 7.00000e-01 9.68488e-01 2.26711e-01 -1.24672e-01
3.75000e-01 1.50000e-01 3.15000e-01 7.00000e-01 9.66984e-01 2.27448e-01 -1.69982e-01
3.75000e-01 1.50000e-01 4.20000e-01 7.00000e-01 9.65083e-01 2.28222e-01 -2.23884e-01
