visc ampFrac rslFrac vel
4.00000e-02 8.00000e-01 1.20000e+00 1.04134e+00
4.00000e-02 4.00000e-01 1.20000e+00 5.08639e-02
4.00000e-02 6.00000e-01 1.20000e+00 4.25000e-01
4.00000e-02 7.00000e-01 1.20000e+00 7.12515e-01
4.00000e-02 5.00000e-01 1.20000e+00 1.76844e-01
1.12000e+00 8.00000e-01 1.20000e+00 -2.27118e-01
1.12000e+00 4.00000e-01 1.20000e+00 -6.93319e-02
1.12000e+00 6.00000e-01 1.20000e+00 -1.42565e-01
1.12000e+00 7.00000e-01 1.20000e+00 -1.83624e-01
1.12000e+00 5.00000e-01 1.20000e+00 -1.04042e-01
2.60000e-01 8.00000e-01 1.20000e+00 -6.64295e-02
2.60000e-01 4.00000e-01 1.20000e+00 -4.04390e-02
2.60000e-01 6.00000e-01 1.20000e+00 -6.06952e-02
2.60000e-01 7.00000e-01 1.20000e+00 -6.81027e-02
2.60000e-01 5.00000e-01 1.20000e+00 -5.25251e-02
4.70000e-01 8.00000e-01 1.20000e+00 -1.34838e-01
4.70000e-01 4.00000e-01 1.20000e+00 -5.95145e-02
4.70000e-01 6.00000e-01 1.20000e+00 -1.05084e-01
4.70000e-01 7.00000e-01 1.20000e+00 -1.23216e-01
4.70000e-01 5.00000e-01 1.20000e+00 -8.29975e-02
6.00000e-02 8.00000e-01 1.20000e+00 7.94110e-01
6.00000e-02 4.00000e-01 1.20000e+00 2.57644e-02
6.00000e-02 6.00000e-01 1.20000e+00 2.61516e-01
6.00000e-02 7.00000e-01 1.20000e+00 5.19485e-01
6.00000e-02 5.00000e-01 1.20000e+00 9.14577e-02
3.62000e+00 8.00000e-01 1.20000e+00 -2.56428e-01
3.62000e+00 4.00000e-01 1.20000e+00 -6.14747e-02
3.62000e+00 6.00000e-01 1.20000e+00 -1.38691e-01
3.62000e+00 7.00000e-01 1.20000e+00 -1.90983e-01
3.62000e+00 5.00000e-01 1.20000e+00 -9.59135e-02
8.00000e-02 8.00000e-01 1.20000e+00 5.86782e-01
8.00000e-02 4.00000e-01 1.20000e+00 8.99312e-03
8.00000e-02 6.00000e-01 1.20000e+00 1.53542e-01
8.00000e-02 7.00000e-01 1.20000e+00 3.46658e-01
8.00000e-02 5.00000e-01 1.20000e+00 4.57816e-02
1.00000e-02 8.00000e-01 1.20000e+00 1.36634e+00
1.00000e-02 4.00000e-01 1.20000e+00 8.00288e-02
1.00000e-02 6.00000e-01 1.20000e+00 7.25625e-01
1.00000e-02 7.00000e-01 1.20000e+00 1.09550e+00
1.00000e-02 5.00000e-01 1.20000e+00 3.56552e-01
1.51000e+00 8.00000e-01 1.20000e+00 -2.50915e-01
1.51000e+00 4.00000e-01 1.20000e+00 -6.98076e-02
1.51000e+00 6.00000e-01 1.20000e+00 -1.48713e-01
1.51000e+00 7.00000e-01 1.20000e+00 -1.96562e-01
1.51000e+00 5.00000e-01 1.20000e+00 -1.06352e-01
8.40000e-01 8.00000e-01 1.20000e+00 -2.04079e-01
8.40000e-01 4.00000e-01 1.20000e+00 -7.02322e-02
8.40000e-01 6.00000e-01 1.20000e+00 -1.37465e-01
8.40000e-01 7.00000e-01 1.20000e+00 -1.71667e-01
8.40000e-01 5.00000e-01 1.20000e+00 -1.03084e-01
2.00000e-02 8.00000e-01 1.20000e+00 1.34840e+00
2.00000e-02 4.00000e-01 1.20000e+00 9.47420e-02
2.00000e-02 6.00000e-01 1.20000e+00 6.52628e-01
2.00000e-02 7.00000e-01 1.20000e+00 9.88969e-01
2.00000e-02 5.00000e-01 1.20000e+00 3.15955e-01
3.00000e-02 8.00000e-01 1.20000e+00 1.18712e+00
3.00000e-02 4.00000e-01 1.20000e+00 7.09236e-02
3.00000e-02 6.00000e-01 1.20000e+00 5.31276e-01
3.00000e-02 7.00000e-01 1.20000e+00 8.37442e-01
3.00000e-02 5.00000e-01 1.20000e+00 2.39368e-01
1.50000e-01 8.00000e-01 1.20000e+00 9.86885e-02
1.50000e-01 4.00000e-01 1.20000e+00 -1.80705e-02
1.50000e-01 6.00000e-01 1.20000e+00 -1.50549e-02
1.50000e-01 7.00000e-01 1.20000e+00 2.72587e-02
1.50000e-01 5.00000e-01 1.20000e+00 -1.58237e-02
2.02000e+00 8.00000e-01 1.20000e+00 -2.64488e-01
2.02000e+00 4.00000e-01 1.20000e+00 -6.84998e-02
2.02000e+00 6.00000e-01 1.20000e+00 -1.50020e-01
2.02000e+00 7.00000e-01 1.20000e+00 -2.02133e-01
2.02000e+00 5.00000e-01 1.20000e+00 -1.05614e-01
1.00000e-01 8.00000e-01 1.20000e+00 4.38638e-01
1.00000e-01 4.00000e-01 1.20000e+00 -6.49708e-03
1.00000e-01 6.00000e-01 1.20000e+00 7.93947e-02
1.00000e-01 7.00000e-01 1.20000e+00 2.19924e-01
1.00000e-01 5.00000e-01 1.20000e+00 2.04116e-02
2.00000e-01 8.00000e-01 1.20000e+00 -2.71685e-02
2.00000e-01 4.00000e-01 1.20000e+00 -2.99630e-02
2.00000e-01 6.00000e-01 1.20000e+00 -3.79762e-02
2.00000e-01 7.00000e-01 1.20000e+00 -3.34760e-02
2.00000e-01 5.00000e-01 1.20000e+00 -3.55848e-02
5.00000e-02 8.00000e-01 1.20000e+00 9.08081e-01
5.00000e-02 4.00000e-01 1.20000e+00 3.64773e-02
5.00000e-02 6.00000e-01 1.20000e+00 3.37304e-01
5.00000e-02 7.00000e-01 1.20000e+00 6.10838e-01
5.00000e-02 5.00000e-01 1.20000e+00 1.28538e-01
6.30000e-01 8.00000e-01 1.20000e+00 -1.70500e-01
6.30000e-01 4.00000e-01 1.20000e+00 -6.58333e-02
6.30000e-01 6.00000e-01 1.20000e+00 -1.22968e-01
6.30000e-01 7.00000e-01 1.20000e+00 -1.48561e-01
6.30000e-01 5.00000e-01 1.20000e+00 -9.44229e-02
3.50000e-01 8.00000e-01 1.20000e+00 -1.02247e-01
3.50000e-01 4.00000e-01 1.20000e+00 -5.10864e-02
3.50000e-01 6.00000e-01 1.20000e+00 -8.43764e-02
3.50000e-01 7.00000e-01 1.20000e+00 -9.46012e-02
3.50000e-01 5.00000e-01 1.20000e+00 -6.89630e-02
2.70000e+00 8.00000e-01 1.20000e+00 -2.66210e-01
2.70000e+00 4.00000e-01 1.20000e+00 -6.56317e-02
2.70000e+00 6.00000e-01 1.20000e+00 -1.46493e-01
2.70000e+00 7.00000e-01 1.20000e+00 -2.00033e-01
2.70000e+00 5.00000e-01 1.20000e+00 -1.02054e-01
4.00000e-02 8.00000e-01 1.00000e+00 9.70733e-01
4.00000e-02 4.00000e-01 1.00000e+00 6.01733e-02
4.00000e-02 6.00000e-01 1.00000e+00 4.44077e-01
4.00000e-02 7.00000e-01 1.00000e+00 6.97433e-01
4.00000e-02 5.00000e-01 1.00000e+00 1.98986e-01
1.12000e+00 8.00000e-01 1.00000e+00 -3.25870e-01
1.12000e+00 4.00000e-01 1.00000e+00 -9.62190e-02
1.12000e+00 6.00000e-01 1.00000e+00 -1.98683e-01
1.12000e+00 7.00000e-01 1.00000e+00 -2.59344e-01
1.12000e+00 5.00000e-01 1.00000e+00 -1.44227e-01
2.60000e-01 8.00000e-01 1.00000e+00 -1.04502e-01
2.60000e-01 4.00000e-01 1.00000e+00 -5.81136e-02
2.60000e-01 6.00000e-01 1.00000e+00 -9.36828e-02
2.60000e-01 7.00000e-01 1.00000e+00 -1.06906e-01
2.60000e-01 5.00000e-01 1.00000e+00 -7.72651e-02
4.70000e-01 8.00000e-01 1.00000e+00 -1.90272e-01
4.70000e-01 4.00000e-01 1.00000e+00 -8.33740e-02
4.70000e-01 6.00000e-01 1.00000e+00 -1.49780e-01
4.70000e-01 7.00000e-01 1.00000e+00 -1.78335e-01
4.70000e-01 5.00000e-01 1.00000e+00 -1.16982e-01
6.00000e-02 8.00000e-01 1.00000e+00 7.16625e-01
6.00000e-02 4.00000e-01 1.00000e+00 2.71286e-02
6.00000e-02 6.00000e-01 1.00000e+00 2.75932e-01
6.00000e-02 7.00000e-01 1.00000e+00 4.97816e-01
6.00000e-02 5.00000e-01 1.00000e+00 1.00792e-01
3.62000e+00 8.00000e-01 1.00000e+00 -3.33745e-01
3.62000e+00 4.00000e-01 1.00000e+00 -7.83913e-02
3.62000e+00 6.00000e-01 1.00000e+00 -1.77226e-01
3.62000e+00 7.00000e-01 1.00000e+00 -2.45528e-01
3.62000e+00 5.00000e-01 1.00000e+00 -1.22422e-01
8.00000e-02 8.00000e-01 1.00000e+00 5.23392e-01
8.00000e-02 4.00000e-01 1.00000e+00 6.44852e-03
8.00000e-02 6.00000e-01 1.00000e+00 1.47902e-01
8.00000e-02 7.00000e-01 1.00000e+00 3.23927e-01
8.00000e-02 5.00000e-01 1.00000e+00 4.53779e-02
1.00000e-02 8.00000e-01 1.00000e+00 1.22290e+00
1.00000e-02 4.00000e-01 1.00000e+00 9.61361e-02
1.00000e-02 6.00000e-01 1.00000e+00 7.39588e-01
1.00000e-02 7.00000e-01 1.00000e+00 1.03780e+00
1.00000e-02 5.00000e-01 1.00000e+00 3.99212e-01
1.51000e+00 8.00000e-01 1.00000e+00 -3.56356e-01
1.51000e+00 4.00000e-01 1.00000e+00 -9.55754e-02
1.51000e+00 6.00000e-01 1.00000e+00 -2.04414e-01
1.51000e+00 7.00000e-01 1.00000e+00 -2.73621e-01
1.51000e+00 5.00000e-01 1.00000e+00 -1.45449e-01
8.40000e-01 8.00000e-01 1.00000e+00 -2.86193e-01
8.40000e-01 4.00000e-01 1.00000e+00 -9.80936e-02
8.40000e-01 6.00000e-01 1.00000e+00 -1.92862e-01
8.40000e-01 7.00000e-01 1.00000e+00 -2.42692e-01
8.40000e-01 5.00000e-01 1.00000e+00 -1.43884e-01
2.00000e-02 8.00000e-01 1.00000e+00 1.05564e+00
2.00000e-02 4.00000e-01 1.00000e+00 1.10710e-01
2.00000e-02 6.00000e-01 1.00000e+00 6.69288e-01
2.00000e-02 7.00000e-01 1.00000e+00 8.82781e-01
2.00000e-02 5.00000e-01 1.00000e+00 3.55061e-01
3.00000e-02 8.00000e-01 1.00000e+00 1.00146e+00
3.00000e-02 4.00000e-01 1.00000e+00 8.41253e-02
3.00000e-02 6.00000e-01 1.00000e+00 5.50053e-01
3.00000e-02 7.00000e-01 1.00000e+00 7.70912e-01
3.00000e-02 5.00000e-01 1.00000e+00 2.70861e-01
1.50000e-01 8.00000e-01 1.00000e+00 4.24591e-02
