sfxUp sfyUp sfxLow sfyLow time
-296684 25649.7 9.65411e-10 -25649.7 0.0001
-211284 73082.5 -19285.5 -73082.5 0.0002
-135187 104977 -25444.3 -104977 0.0003
-62371.9 126418 -18928 -126418 0.0004
-12078.4 139390 -5707.54 -139390 0.0005
24872.1 147206 6674.14 -147206 0.0006
43437.1 151212 16370.8 -151212 0.0007
52306 153166 20428.6 -153166 0.0008
50308.4 153635 21084 -153635 0.0009
44389 153483 17922.9 -153483 0.001
34076.3 152849 13877.6 -152849 0.0011
24261 152150 8735.56 -152150 0.0012
14052.7 151342 4616.71 -151342 0.0013
6479.39 150636 829.511 -150636 0.0014
73.8917 149929 -1387.18 -149929 0.0015
-3463.02 149343 -3043.42 -149343 0.0016
-5880.3 148772 -3415.11 -148772 0.0017
-6194.35 148299 -3543.24 -148299 0.0018
-6077.81 147831 -2901.23 -147831 0.0019
-4807.49 147432 -2387.88 -147432 0.002
-3764.58 147028 -1512.4 -147028 0.0021
-2255.35 146672 -985.667 -146672 0.0022
-1326.04 146302 -309 -146302 0.0023
-258.036 145966 -33.1343 -145966 0.0024
173.653 145614 334.874 -145614 0.0025
679.534 145284 353.954 -145284 0.0026
661.455 144939 484.444 -144939 0.0027
772.994 144609 351.559 -144609 0.0028
516.013 144264 364.701 -144264 0.0029
457.597 143931 189.247 -143931 0.003
155.712 143583 178.739 -143583 0.0031
86.3931 143243 27.9889 -143243 0.0032
-152.836 142890 39.4314 -142890 0.0033
-165.202 142542 -64.4772 -142542 0.0034
-315.325 142183 -23.7541 -142183 0.0035
-268.585 141827 -87.0864 -141827 0.0036
-349.233 141461 -28.6579 -141461 0.0037
-269.761 141097 -67.6056 -141097 0.0038
-313.081 140723 -6.22227 -140723 0.0039
-228.55 140350 -35.0472 -140350 0.004
-259.744 139969 19.3108 -139969 0.0041
-187.004 139587 -7.40169 -139587 0.0042
-218.693 139198 36.1979 -139198 0.0043
-162.945 138807 9.22419 -138807 0.0044
-197.704 138410 42.7139 -138410 0.0045
-156.819 138011 16.2638 -138011 0.0046
-192.226 137607 42.1228 -137607 0.0047
-161.538 137199 17.8446 -137199 0.0048
-194.199 136787 38.5596 -136787 0.0049
-169.549 136371 17.6667 -136371 0.005
-197.262 135951 34.9339 -135951 0.0051
