xUp yUp xLow yLow curr_spring des_Spring time
0.00211284 0.000667924 0.000192855 -0.97513 0.975618 0.976131 0.0001
0.00135187 0.00082164 0.000254443 -0.975471 0.9758 0.977262 0.0002
0.000623719 0.00104945 0.00018928 -0.975946 0.976293 0.978393 0.0003
0.000120784 0.00133688 5.70754e-05 -0.976529 0.976995 0.979523 0.0004
-0.000248721 0.00166415 -6.67414e-05 -0.977176 0.977866 0.980654 0.0005
-0.000434371 0.0020203 -0.000163708 -0.97787 0.97884 0.981784 0.0006
-0.00052306 0.00239432 -0.000204286 -0.978586 0.97989 0.982914 0.0007
-0.000503084 0.00278073 -0.00021084 -0.97932 0.980981 0.984044 0.0008
-0.00044389 0.00317413 -0.000179229 -0.980058 0.982101 0.985173 0.0009
-0.000340763 0.00357233 -0.000138776 -0.980801 0.983233 0.986302 0.001
-0.00024261 0.00397285 -8.73556e-05 -0.981543 0.984374 0.987431 0.0011
-0.000140527 0.00437503 -4.61671e-05 -0.982284 0.985516 0.988559 0.0012
-6.47938e-05 0.00477777 -8.29511e-06 -0.983023 0.986659 0.989686 0.0013
-7.38895e-07 0.00518103 1.38718e-05 -0.98376 0.9878 0.990813 0.0014
3.46302e-05 0.0055843 3.04342e-05 -0.984494 0.988941 0.991939 0.0015
5.8803e-05 0.00598772 3.41511e-05 -0.985227 0.990078 0.993065 0.0016
6.19435e-05 0.00639102 3.54324e-05 -0.985957 0.991215 0.99419 0.0017
6.07782e-05 0.00679436 2.90123e-05 -0.986687 0.992348 0.995314 0.0018
4.80749e-05 0.00719758 2.38788e-05 -0.987414 0.993481 0.996437 0.0019
3.76459e-05 0.00760079 1.5124e-05 -0.98814 0.994611 0.99756 0.002
2.25535e-05 0.00800389 9.85668e-06 -0.988865 0.995741 0.998682 0.0021
1.32604e-05 0.00840692 3.08999e-06 -0.989589 0.996869 0.999802 0.0022
2.58036e-06 0.00880983 3.31344e-07 -0.990311 0.997996 1.00092 0.0023
-1.73651e-06 0.00921264 -3.34874e-06 -0.991033 0.999121 1.00204 0.0024
-6.79532e-06 0.00961529 -3.53953e-06 -0.991754 1.00025 1.00316 0.0025
-6.61453e-06 0.0100178 -4.84444e-06 -0.992473 1.00137 1.00427 0.0026
-7.72991e-06 0.0104201 -3.51559e-06 -0.993192 1.00249 1.00539 0.0027
-5.1601e-06 0.0108221 -3.647e-06 -0.99391 1.00361 1.0065 0.0028
-4.57597e-06 0.011224 -1.89246e-06 -0.994626 1.00473 1.00762 0.0029
-1.5571e-06 0.0116256 -1.78739e-06 -0.995342 1.00585 1.00873 0.003
-8.63933e-07 0.0120269 -2.79884e-07 -0.996056 1.00697 1.00984 0.0031
1.52837e-06 0.0124278 -3.94315e-07 -0.99677 1.00808 1.01095 0.0032
1.65205e-06 0.0128285 6.44774e-07 -0.997482 1.0092 1.01206 0.0033
3.15328e-06 0.0132288 2.37543e-07 -0.998193 1.01031 1.01316 0.0034
2.68587e-06 0.0136288 8.70856e-07 -0.998903 1.01142 1.01427 0.0035
3.49234e-06 0.0140283 2.86583e-07 -0.999613 1.01253 1.01537 0.0036
2.69762e-06 0.0144274 6.76048e-07 -1.00032 1.01364 1.01647 0.0037
3.13081e-06 0.0148261 6.22249e-08 -1.00103 1.01475 1.01757 0.0038
2.28548e-06 0.0152243 3.50464e-07 -1.00173 1.01585 1.01867 0.0039
2.59742e-06 0.015622 -1.93122e-07 -1.00244 1.01696 1.01976 0.004
1.87001e-06 0.0160193 7.40016e-08 -1.00314 1.01806 1.02086 0.0041
2.18691e-06 0.0164161 -3.61989e-07 -1.00384 1.01916 1.02195 0.0042
1.62946e-06 0.0168123 -9.22423e-08 -1.00454 1.02026 1.02304 0.0043
1.97707e-06 0.017208 -4.27124e-07 -1.00524 1.02136 1.02413 0.0044
1.56822e-06 0.0176031 -1.62628e-07 -1.00594 1.02245 1.02522 0.0045
1.92229e-06 0.0179976 -4.21219e-07 -1.00664 1.02354 1.0263 0.0046
1.6154e-06 0.0183915 -1.78439e-07 -1.00733 1.02463 1.02739 0.0047
1.94199e-06 0.0187848 -3.85588e-07 -1.00803 1.02572 1.02847 0.0048
1.6955e-06 0.0191775 -1.76665e-07 -1.00872 1.02681 1.02955 0.0049
1.97264e-06 0.0195695 -3.49344e-07 -1.00941 1.0279 1.03062 0.005
1.7618e-06 0.0199608 -1.78202e-07 -1.0101 1.02898 1.0317 0.0051
1.98322e-06 0.0203515 -3.24918e-07 -1.01079 1.03006 1.03277 0.0052
1.79839e-06 0.0207414 -1.89015e-07 -1.01147 1.03114 1.03384 0.0053
1.96888e-06 0.0211307 -3.12835e-07 -1.01216 1.03221 1.03491 0.0054
1.80905e-06 0.0215192 -2.06571e-07 -1.01284 1.03329 1.03597 0.0055
1.93781e-06 0.0219069 -3.08428e-07 -1.01352 1.03436 1.03704 0.0056
1.80456e-06 0.0222939 -2.25885e-07 -1.0142 1.03543 1.0381 0.0057
1.90052e-06 0.0226801 -3.06677e-07 -1.01488 1.0365 1.03915 0.0058
1.79456e-06 0.0230655 -2.43069e-07 -1.01556 1.03756 1.04021 0.0059
1.86439e-06 0.02345 -3.04457e-07 -1.01623 1.03862 1.04126 0.006
1.78465e-06 0.0238338 -2.56358e-07 -1.01691 1.03968 1.04231 0.0061
1.83257e-06 0.0242166 -3.00679e-07 -1.01758 1.04074 1.04336 0.0062
1.77639e-06 0.0245987 -2.65698e-07 -1.01825 1.04179 1.04441 0.0063
1.80507e-06 0.0249798 -2.95542e-07 -1.01891 1.04284 1.04545 0.0064
1.76929e-06 0.0253601 -2.71893e-07 -1.01958 1.04389 1.04649 0.0065
1.78057e-06 0.0257394 -2.89745e-07 -1.02024 1.04494 1.04752 0.0066
1.762e-06 0.0261178 -2.75897e-07 -1.02091 1.04598 1.04856 0.0067
1.75765e-06 0.0264952 -2.8394e-07 -1.02157 1.04702 1.04959 0.0068
1.7536e-06 0.0268717 -2.78454e-07 -1.02222 1.04806 1.05062 0.0069
1.7354e-06 0.0272472 -2.78484e-07 -1.02288 1.0491 1.05164 0.007
1.74359e-06 0.0276218 -2.8002e-07 -1.02353 1.05013 1.05266 0.0071
1.71341e-06 0.0279952 -2.735e-07 -1.02419 1.05116 1.05368 0.0072
1.73203e-06 0.0283678 -2.80784e-07 -1.02484 1.05218 1.0547 0.0073
1.69168e-06 0.0287392 -2.6894e-07 -1.02548 1.0532 1.05571 0.0074
1.71912e-06 0.0291096 -2.80841e-07 -1.02613 1.05422 1.05672 0.0075
1.67032e-06 0.0294789 -2.64676e-07 -1.02677 1.05524 1.05772 0.0076
1.70518e-06 0.0298471 -2.80214e-07 -1.02742 1.05625 1.05873 0.0077
1.64944e-06 0.0302142 -2.60609e-07 -1.02806 1.05726 1.05973 0.0078
1.6904e-06 0.0305803 -2.78969e-07 -1.02869 1.05827 1.06072 0.0079
1.62909e-06 0.0309451 -2.56672e-07 -1.02933 1.05927 1.06172 0.008
1.67495e-06 0.0313089 -2.77169e-07 -1.02996 1.06027 1.06271 0.0081
1.6092e-06 0.0316714 -2.5284e-07 -1.03059 1.06127 1.06369 0.0082
1.65885e-06 0.0320328 -2.74933e-07 -1.03122 1.06226 1.06467 0.0083
1.58975e-06 0.032393 -2.49122e-07 -1.03185 1.06325 1.06565 0.0084
1.64222e-06 0.032752 -2.72329e-07 -1.03247 1.06424 1.06663 0.0085
1.57069e-06 0.0331097 -2.455e-07 -1.03309 1.06522 1.0676 0.0086
1.62508e-06 0.0334662 -2.69436e-07 -1.03371 1.0662 1.06857 0.0087
1.55193e-06 0.0338215 -2.41975e-07 -1.03433 1.06718 1.06953 0.0088
1.60747e-06 0.0341755 -2.66299e-07 -1.03494 1.06815 1.07049 0.0089
1.5334e-06 0.0345282 -2.38535e-07 -1.03555 1.06912 1.07145 0.009
1.58941e-06 0.0348796 -2.62973e-07 -1.03616 1.07008 1.0724 0.0091
1.5151e-06 0.0352297 -2.35155e-07 -1.03677 1.07104 1.07335 0.0092
1.57098e-06 0.0355784 -2.59472e-07 -1.03737 1.072 1.0743 0.0093
1.49694e-06 0.0359259 -2.31823e-07 -1.03797 1.07295 1.07524 0.0094
1.55222e-06 0.0362719 -2.55839e-07 -1.03857 1.0739 1.07618 0.0095
1.47896e-06 0.0366166 -2.28524e-07 -1.03917 1.07484 1.07711 0.0096
1.53317e-06 0.0369599 -2.52145e-07 -1.03976 1.07578 1.07804 0.0097
1.46108e-06 0.0373018 -2.25313e-07 -1.04035 1.07672 1.07896 0.0098
