Hx Hy ThetaBW parHx parHy parThetaBW time H
4.25 -6.5 0.0 4.25 -6.5 0.0 0.0 7.766112283504533
4.222093353115692 -6.522684341749003 6.2814289098141405 4.25 -6.5 0.0 0.1 7.769908835019967
4.188537112691759 -6.558573365876002 6.27506971739782 4.25 -6.5 0.0 0.2 7.781948839460093
4.260215668090684 -6.562601319507408 6.279865143974103 4.25 -6.5 0.0 0.3 7.824140439527254
4.074930661575608 -6.705375180373131 6.256678334582792 4.25 -6.5 0.0 0.4 7.846471576843506
4.001730609397983 -6.775681521451579 6.263379504276475 4.25 -6.5 0.0 0.5 7.869161832770574
3.9273940882073397 -6.846932769105582 6.26030717664257 4.25 -6.5 0.0 0.6 7.893346100909157
3.9054841643386875 -6.8906434948327515 6.255524723911962 4.25 -6.5 0.0 0.7 7.920465537503536
3.903826862425964 -6.9278064985226235 6.248413647816565 4.25 -6.5 0.0 0.8 7.952003964584703
3.899571667898777 -6.953912886669932 6.247762205688804 4.25 -6.5 0.0 0.9 7.9726760644386525
3.9121708056491884 -6.970633300637809 6.244331855496427 4.25 -6.5 0.0 1.0 7.993422860360546
3.8946104935120216 -7.010406204798918 6.243283154299704 4.25 -6.5 0.0 1.1 8.019587648530136
3.8614489336377424 -7.075076664469592 6.23349147721406 4.25 -6.5 0.0 1.2 8.060241787639763
3.817606475855464 -7.150085075631882 6.229050225182027 4.25 -6.5 0.0 1.3 8.10542014908958
3.7548184239648377 -7.229869164892039 6.2172818156220995 4.25 -6.5 0.0 1.4 8.146758222655347
3.6631526253977054 -7.308671096639606 6.207358291610999 4.25 -6.5 0.0 1.5 8.175289619078537
3.543395968268696 -7.407167982566143 6.1872690014792475 4.25 -6.5 0.0 1.6 8.211077426860365
3.400376127689681 -7.50237942777447 6.169980103305928 4.25 -6.5 0.0 1.7 8.237005213550338
3.189347201983171 -7.6309815803520005 6.141799461774886 4.25 -6.5 0.0 1.8 8.270659916504208
2.936554550384859 -7.7769149252296135 6.105203881568249 4.25 -6.5 0.0 1.9 8.312867037409244
2.6436058235044437 -7.934588794837599 6.0723193122949874 4.25 -6.5 0.0 2.0 8.363393515387697
2.258741255659106 -8.10409100167582 6.025624911503024 4.25 -6.5 0.0 2.1 8.412978249315724
