Hx Hy Theta
2.50000e-01 -6.50000e+00 0.00000e+00
2.50000e-01 -6.50000e+00 2.25000e+01
2.50000e-01 -6.50000e+00 4.50000e+01
2.50000e-01 -6.50000e+00 6.75000e+01
2.50000e-01 -6.50000e+00 9.00000e+01
2.50000e-01 -6.50000e+00 1.12500e+02
2.50000e-01 -6.50000e+00 1.35000e+02
2.50000e-01 -6.50000e+00 1.57500e+02
2.50000e-01 -6.50000e+00 1.80000e+02
2.50000e-01 -6.50000e+00 2.02500e+02
2.50000e-01 -6.50000e+00 2.25000e+02
2.50000e-01 -6.50000e+00 2.47500e+02
2.50000e-01 -6.50000e+00 2.70000e+02
2.50000e-01 -6.50000e+00 2.92500e+02
2.50000e-01 -6.50000e+00 3.15000e+02
2.50000e-01 -6.50000e+00 3.37500e+02
2.50000e-01 -5.50000e+00 0.00000e+00
2.50000e-01 -5.50000e+00 2.25000e+01
2.50000e-01 -5.50000e+00 4.50000e+01
2.50000e-01 -5.50000e+00 6.75000e+01
2.50000e-01 -5.50000e+00 9.00000e+01
2.50000e-01 -5.50000e+00 1.12500e+02
2.50000e-01 -5.50000e+00 1.35000e+02
2.50000e-01 -5.50000e+00 1.57500e+02
2.50000e-01 -5.50000e+00 1.80000e+02
2.50000e-01 -5.50000e+00 2.02500e+02
2.50000e-01 -5.50000e+00 2.25000e+02
2.50000e-01 -5.50000e+00 2.47500e+02
2.50000e-01 -5.50000e+00 2.70000e+02
2.50000e-01 -5.50000e+00 2.92500e+02
2.50000e-01 -5.50000e+00 3.15000e+02
2.50000e-01 -5.50000e+00 3.37500e+02
2.50000e-01 -4.50000e+00 0.00000e+00
2.50000e-01 -4.50000e+00 2.25000e+01
2.50000e-01 -4.50000e+00 4.50000e+01
2.50000e-01 -4.50000e+00 6.75000e+01
2.50000e-01 -4.50000e+00 9.00000e+01
2.50000e-01 -4.50000e+00 1.12500e+02
2.50000e-01 -4.50000e+00 2.47500e+02
2.50000e-01 -4.50000e+00 2.70000e+02
2.50000e-01 -4.50000e+00 2.92500e+02
2.50000e-01 -4.50000e+00 3.15000e+02
2.50000e-01 -4.50000e+00 3.37500e+02
2.50000e-01 3.50000e+00 6.75000e+01
2.50000e-01 3.50000e+00 9.00000e+01
2.50000e-01 3.50000e+00 1.12500e+02
2.50000e-01 3.50000e+00 1.35000e+02
2.50000e-01 3.50000e+00 1.57500e+02
