,Re_s,St,direction,stagPos,velChange,Amp,Nu,delta,Re_Paper,epsilon,Tvar,Msquared,Re_M
0,8.0,1.5,Horizontal,0.9863014999999999,1.0,0.09999999999999999,0.07853981633974481,0.035355339059327376,11.999999999999998,0.6666666666666666,0.8363014999999999,18.0,18.0
1,9.0,1.25,Horizontal,1.502935,1.0,0.12,0.10053096491487339,0.04,11.249999999999998,0.8,1.352935,14.062499999999996,14.062499999999998
2,9.0,1.5,Horizontal,0.6888455,1.0,0.09999999999999999,0.06981317007977317,0.03333333333333333,13.499999999999998,0.6666666666666666,0.5388455,20.25,20.25
3,10.0,1.25,Horizontal,0.81409,1.0,0.12,0.09047786842338604,0.03794733192202055,12.5,0.8,0.66409,15.625,15.625
4,10.0,1.5,Horizontal,0.563601,1.0,0.09999999999999999,0.06283185307179585,0.03162277660168379,15.0,0.6666666666666666,0.413601,22.5,22.500000000000004
5,11.0,1.0,Horizontal,0.9863014999999999,1.0,0.15,0.128519699465037,0.045226701686664546,10.999999999999998,1.0,0.8363014999999999,10.999999999999998,10.999999999999998
6,11.0,1.25,Horizontal,0.626223,1.0,0.12,0.08225260765762367,0.036181361349331635,13.75,0.8,0.47622299999999995,17.1875,17.1875
7,11.0,1.5,Horizontal,0.5009785,1.0,0.09999999999999999,0.05711986642890532,0.03015113445777636,16.499999999999996,0.6666666666666666,0.35097849999999997,24.749999999999996,24.75
8,12.0,0.75,Horizontal,1.502935,1.0,0.19999999999999998,0.2094395102393195,0.05773502691896257,9.000000000000002,1.3333333333333333,1.352935,6.750000000000002,6.750000000000002
9,12.0,1.0,Horizontal,0.7514675,1.0,0.15,0.11780972450961724,0.04330127018922193,12.0,1.0,0.6014674999999999,12.0,12.0
10,12.0,1.25,Horizontal,0.563601,1.0,0.12,0.07539822368615504,0.034641016151377546,14.999999999999998,0.8,0.413601,18.749999999999996,18.749999999999996
11,12.0,1.5,Horizontal,0.43835599999999997,1.0,0.09999999999999999,0.052359877559829876,0.028867513459481284,18.000000000000004,0.6666666666666666,0.28835599999999995,27.000000000000007,27.000000000000007
12,13.0,0.75,Horizontal,0.9236789999999999,1.0,0.19999999999999998,0.19332877868244877,0.05547001962252291,9.749999999999998,1.3333333333333333,0.7736789999999999,7.312499999999999,7.3125
13,13.0,1.0,Horizontal,0.626223,1.0,0.15,0.10874743800887746,0.041602514716892185,13.0,1.0,0.47622299999999995,13.0,13.0
14,13.0,1.25,Horizontal,0.5009785,1.0,0.12,0.06959836032568158,0.033282011773513746,16.25,0.8,0.35097849999999997,20.3125,20.3125
15,14.0,0.5,Horizontal,1.7377700000000003,1.0,0.3,0.40391905546154483,0.08017837257372731,7.0,2.0,1.5877700000000003,3.5,3.5
16,14.0,0.5,Horizontal,1.7377700000000003,1.0,0.3,0.40391905546154483,0.08017837257372731,7.0,2.0,1.5877700000000003,3.5,3.5
17,14.0,0.75,Horizontal,0.7358119999999999,1.0,0.19999999999999998,0.179519580205131,0.05345224838248487,10.5,1.3333333333333333,0.5858119999999999,7.875,7.875000000000001
18,14.0,0.75,Horizontal,0.7358119999999999,1.0,0.19999999999999998,0.179519580205131,0.05345224838248487,10.5,1.3333333333333333,0.5858119999999999,7.875,7.875000000000001
19,14.0,1.0,Horizontal,0.563601,1.0,0.15,0.10097976386538621,0.04008918628686366,14.0,1.0,0.413601,14.0,14.0
20,14.0,1.0,Horizontal,0.563601,1.0,0.15,0.10097976386538621,0.04008918628686366,14.0,1.0,0.413601,14.0,14.0
21,14.0,1.25,Horizontal,0.43835599999999997,1.0,0.12,0.06462704887384717,0.03207134902949092,17.500000000000004,0.8,0.28835599999999995,21.875000000000004,21.875000000000004
22,14.0,1.25,Horizontal,0.43835599999999997,1.0,0.12,0.06462704887384717,0.03207134902949092,17.500000000000004,0.8,0.28835599999999995,21.875000000000004,21.875000000000004
23,14.0,1.5,Horizontal,0.3913895,1.0,0.09999999999999999,0.04487989505128275,0.026726124191242435,21.0,0.6666666666666666,0.2413895,31.5,31.500000000000004
24,14.0,1.5,Horizontal,0.3913895,1.0,0.09999999999999999,0.04487989505128275,0.026726124191242435,21.0,0.6666666666666666,0.2413895,31.5,31.500000000000004
25,15.0,0.5,Horizontal,0.9863014999999999,1.0,0.3,0.37699111843077515,0.07745966692414834,7.5,2.0,0.8363014999999999,3.75,3.75
26,15.0,0.75,Horizontal,0.626223,1.0,0.19999999999999998,0.1675516081914556,0.05163977794943222,11.25,1.3333333333333333,0.47622299999999995,8.4375,8.437500000000002
27,15.0,1.0,Horizontal,0.5009785,1.0,0.15,0.09424777960769379,0.03872983346207417,15.0,1.0,0.35097849999999997,15.0,15.0
