,Re_s,St,direction,stagPos,velChange,Amp,Nu,delta,Re_Paper,epsilon,Tvar,Msquared,Re_M
0,7.0,1.5,Vertical,0.8686211666666668,1.0,0.09999999999999999,0.0897597901025655,0.03779644730092272,10.5,0.6666666666666666,0.7186211666666668,15.75,15.750000000000002
1,8.0,1.25,Vertical,1.0767900000000001,1.0,0.12,0.11309733552923255,0.042426406871192854,9.999999999999998,0.8,0.9267900000000001,12.499999999999996,12.499999999999998
2,8.0,1.5,Vertical,0.6181341666666667,1.0,0.09999999999999999,0.07853981633974481,0.035355339059327376,11.999999999999998,0.6666666666666666,0.46813416666666663,18.0,18.0
3,9.0,1.0,Vertical,1.052445,1.0,0.15,0.15707963267948966,0.05,8.999999999999998,1.0,0.902445,8.999999999999998,8.999999999999998
4,9.0,1.25,Vertical,0.7167125,1.0,0.12,0.10053096491487339,0.04,11.249999999999998,0.8,0.5667125,14.062499999999996,14.062499999999998
5,9.0,1.5,Vertical,0.4302676666666667,1.0,0.09999999999999999,0.06981317007977317,0.03333333333333333,13.499999999999998,0.6666666666666666,0.2802676666666667,20.25,20.25
6,10.0,1.0,Vertical,0.7863015,1.0,0.15,0.1413716694115407,0.047434164902525694,9.999999999999998,1.0,0.6363015,9.999999999999998,9.999999999999998
7,10.0,1.25,Vertical,0.5288455,1.0,0.12,0.09047786842338604,0.03794733192202055,12.5,0.8,0.37884549999999995,15.625,15.625
8,10.0,1.5,Vertical,0.35198966666666665,1.0,0.09999999999999999,0.06283185307179585,0.03162277660168379,15.0,0.6666666666666666,0.20198966666666665,22.5,22.500000000000004
9,11.0,0.75,Vertical,1.2362683333333333,1.0,0.19999999999999998,0.22847946571562128,0.06030226891555272,8.249999999999998,1.3333333333333333,1.0862683333333334,6.187499999999999,6.1875
10,11.0,1.0,Vertical,0.61409,1.0,0.15,0.128519699465037,0.045226701686664546,10.999999999999998,1.0,0.46409,10.999999999999998,10.999999999999998
11,11.0,1.25,Vertical,0.403601,1.0,0.12,0.08225260765762367,0.036181361349331635,13.75,0.8,0.25360099999999997,17.1875,17.1875
12,11.0,1.5,Vertical,0.30502266666666666,1.0,0.09999999999999999,0.05711986642890532,0.03015113445777636,16.499999999999996,0.6666666666666666,0.15502266666666667,24.749999999999996,24.75
13,12.0,0.75,Vertical,0.7352878333333335,1.0,0.19999999999999998,0.2094395102393195,0.05773502691896257,9.000000000000002,1.3333333333333333,0.5852878333333335,6.750000000000002,6.750000000000002
14,12.0,1.0,Vertical,0.4888455,1.0,0.15,0.11780972450961724,0.04330127018922193,12.0,1.0,0.3388455,12.0,12.0
15,12.0,1.25,Vertical,0.34097849999999996,1.0,0.12,0.07539822368615504,0.034641016151377546,14.999999999999998,0.8,0.19097849999999997,18.749999999999996,18.749999999999996
